"NO3","Density","Discharge","Runoff","Area","NPrec","Prec"
67,102,223,18.2999992370605,1220,46,84.8000030517578
3,1,175000,24.7999992370605,7050000,2.09999990463257,181.100006103516
3.59999990463257,7.15000009536743,7.28999996185303,45.5999984741211,160,2.59999990463257,104.900001525879
26.6000003814697,10,7900,11.8000001907349,670000,2,99.0999984741211
46,90,6500,8.10000038146973,805000,45,57.9000015258789
61,100,336,19.1000003814697,17600,25,107.400001525879
6.40000009536743,2,3550,16.1000003814697,220000,16,145.800003051758
91.3000030517578,300,16000,14.8999996185303,1070000,5.80000019073486,160
24,12,706,16.8999996185303,41770,45,68.3000030517578
139,200,1470,2,750000,28,32.2999992370605
47.7999992370605,150,560,16.1000003814697,34700,25,107.400001525879
1.10000002384186,0.400000005960464,1900,6.09999990463257,312000,7,27.3999996185303
5.69999980926514,0.150000005960464,10600,5.90000009536743,1787000,7,33.2999992370605
17,30,7500,31.2999992370605,240000,2.59999990463257,106.199996948242
17,43,15000,19.2000007629395,783000,7.59999990463257,139.199996948242
156,200,21,17.5,1200,28.8999996185303,100.300003051758
230,250,317,9.10000038146973,34900,36,65
63,30,16100,5,3220000,19,114.800003051758
15,1.5,318.200012207031,0.300000011920929,1073000,4.40000009536743,53.5999984741211
5,2,2370,2.20000004768372,1070000,21,37.2999992370605
7,20,7000,6.19999980926514,1125000,9.60000038146973,181.600006103516
20,50,950,0.300000011920929,2960000,10.1999998092651,15.6999998092651
50,20,170,0.200000002980232,1020000,23,18.1000003814697
6,2,33900,33.9000015258789,1e+06,3,97.3000030517578
14.1999998092651,10,15900,5.69999980926514,2800000,9.89999961853027,75.8000030517578
102,232,1470,22,66700,46,84.8000030517578
286,300,2200,11.8999996185303,185300,60,86.5999984741211
57.2000007629395,100,1700,17.7000007629395,96000,30,73.1999969482422
54,35,190,13.5,14000,8.60000038146973,92.6999969482422
6.09999990463257,1,1100,22,50000,1,242.100006103516
16,15,10700,10.3999996185303,1025000,21,101.099998474121
66,100,1100,15.1000003814697,73000,25,103.599998474121
75,100,50,27.7000007629395,1806,33,58.2000007629395
520,400,78,7.80000019073486,9950,61,58.2000007629395
100,262,230,13.5,17000,46,84.8000030517578
29,10,3850,10.5,365000,13.6999998092651,86.0999984741211
70.5,120,1100,5.5,2e+05,47,55.9000015258789
30,50,8200,6.09999990463257,1350000,13,36.7999992370605
58.2000007629395,200,29000,15.3999996185303,1900000,10,116.800003051758
9.30000019073486,0.400000005960464,6180,7.40000009536743,831000,7.80000019073486,78.5
6,11.6999998092651,39730,10.3999996185303,3820000,10,147.300003051758
9.30000019073486,15,3200,2.5,1300000,8.39999961853027,51.7999992370605
